veh_id,departure_time,arrival_time,enter_location_system,leave_location_system,vehicle_type,parking_zone_sequence,intend_parking_block,prone_factor,max_num_of_zones_can_pass_through,actual_passed_through_zones_num,actual_passed_through_zones,whether_parking_success,parking_space_id,parking_time_legal,cruising_time_threshold_legal,average_cruising_speed,actual_cruising_time,selfish_factor,illegal_behavior_state,parking_space_type_illegal1,average_cruising_speed_illegal,actual_cruising_time_illegal,whether_illegal_parking_success
parking_A_2_LUL_15,4542,5399,bi,bo,LUL,"['a', 'b', 'c']",a18,1,2,1,['a'],True,ap11_4,1897.8369482575172,191,4.151894149843342,97,0,0,,,0,False
parking_B_2_PUDO_13,4548,5399,ai,ao,PUDO,"['b', 'c', 'a']",b8,1,2,1,['b'],True,bp13_5,1052.364211723745,186,3.4992353203015614,99,0,0,,,0,False
parking_A_2_PARK_9,4559,5399,ci,do,PARK,"['a', 'c', 'b']",a8,2,2,1,['a'],True,ap14_3,1932.8551512205827,195,6.89219899773078,144,0,0,,,0,False
parking_A_2_LUL_16,4574,5097,bi,co,LUL,"['a', 'b', 'c']",a17,2,2,1,['a'],False,,2805.262271205668,171,4.890122329073983,171,0,0,,,0,False
parking_A_2_PUDO_20,4597,5399,di,do,PUDO,"['a', 'c', 'b']",a18,2,1,1,['a'],True,a18_il,560.1083832395475,180,5.3589285630640395,347,1,2,,4.549451038840398,167,True
parking_A_2_PARK_10,4609,4982,ci,do,PARK,"['a', 'b', 'c']",a8,1,1,1,['a'],False,,3470.6512021899875,172,4.806157014391693,258.0,1,3,,4.9878541317320915,86,False
parking_A_2_PUDO_21,4640,5399,ai,co,PUDO,"['a', 'b', 'c']",a13,2,2,1,['a'],True,ap11_5,377.34040821346827,143,6.039233515215902,93,1,0,,,0,False
parking_B_2_LUL_5,4661,5399,ci,do,LUL,"['b', 'a', 'c']",b17,1,1,1,['b'],True,bp12_4,653.0207248666882,212,3.2894128283884476,80,0,0,,,0,False
parking_B_2_LUL_6,4662,5399,ai,ao,LUL,"['b', 'a', 'c']",b18,1,2,1,['b'],True,bp14_5,2708.795881822047,279,4.88968118859583,106,1,0,,,0,False
parking_C_2_PUDO_2,4665,5075,di,do,PUDO,"['c', 'a', 'b']",c8,0,1,1,['c'],True,cp5_1,284.1235292454621,234,4.157450193301823,3,0,0,,,0,False
parking_B_2_PUDO_14,4667,5399,ai,do,PUDO,"['b', 'c', 'a']",b17,2,1,1,['b'],True,bp17_5,442.96573789016924,302,4.515425147756529,322,1,1,PARK,10.43957530727025,20,True
parking_B_2_PUDO_15,4676,5112,ci,bo,PUDO,"['b', 'a', 'c']",b14,2,3,1,['b'],True,bp17_1,113.472540241291,148,4.513287692689607,149,1,1,PARK,7.230380071834974,1,True
parking_A_2_PUDO_22,4680,5021,bi,ao,PUDO,"['a', 'b', 'c']",a7,1,2,1,['a'],True,ap11_5,2.2913441615600485,102,6.149246592007953,77,1,0,,,0,False
parking_A_2_LUL_17,4716,5399,ai,do,LUL,"['a', 'b', 'c']",a12,1,3,1,['a'],True,ap12_1,2951.64533728639,374,6.6831703984612485,19,1,0,,,0,False
parking_A_2_PUDO_23,4721,5289,di,co,PUDO,"['a', 'b', 'c']",a18,2,1,1,['a'],True,ap17_5,235.4356858475875,183,6.566847938326485,146,1,0,,,0,False
parking_C_2_PARK_1,4721,5399,bi,do,PARK,"['c', 'a', 'b']",c8,1,3,1,['c'],True,cp8_1,3691.378195215002,121,3.1154501800725156,10,1,0,,,0,False
parking_B_2_PUDO_16,4723,5177,ci,co,PUDO,"['b', 'a', 'c']",b11,2,1,1,['b'],True,b11_il,19.914911294422474,72,3.462605170855246,180,1,2,,3.431843558262625,108,True
parking_A_2_LUL_18,4749,5350,ai,do,LUL,"['a', 'c', 'b']",a13,2,2,1,['a'],False,,2184.656417660886,356,4.279184887494407,356,0,0,,,0,False
parking_B_2_PUDO_17,4756,5227,bi,do,PUDO,"['b', 'c', 'a']",b14,2,1,1,['b'],False,,732.9306216840204,203,3.749549465665804,203,0,0,,,0,False
parking_B_2_PUDO_18,4780,5399,bi,co,PUDO,"['b', 'c', 'a']",b17,2,2,2,"['b', 'c']",True,cp8_2,191.6926398633221,41,5.071325841986325,55,0,0,,,0,False
parking_A_2_PUDO_24,4807,5258,ai,bo,PUDO,"['a', 'b', 'c']",a14,1,2,1,['a'],True,ap14_5,99.4320769604258,102,9.167532527495107,7,1,0,,,0,False
parking_C_2_LUL_1,4810,5399,ai,bo,LUL,"['c', 'a', 'b']",c8,1,3,1,['c'],True,cp8_4,1436.2628223179856,151,6.210687432480639,192,1,1,PUDO,4.986601859622133,41,True
parking_A_2_PUDO_25,4817,5260,ai,bo,PUDO,"['a', 'b', 'c']",a17,1,3,1,['a'],True,ap7_1,88.14461664335461,169,6.490047516814999,67,1,0,,,0,False
parking_A_2_LUL_19,4820,5399,ai,bo,LUL,"['a', 'b', 'c']",a7,0,1,1,['a'],True,ap14_1,2828.6090914064725,265,6.582151601792102,5,1,0,,,0,False
parking_A_2_PARK_11,4825,5399,ai,ao,PARK,"['a', 'b', 'c']",a17,1,1,1,['a'],True,ap7_1,2276.383145805105,145,5.253149790387966,207,1,1,PUDO,6.189887244824831,62,True
parking_A_2_LUL_20,4854,5399,di,ao,LUL,"['a', 'b', 'c']",a18,2,3,1,['a'],True,ap17_2,2172.7055873196027,199,4.968556764737449,191,1,0,,,0,False
parking_A_2_LUL_21,4859,5399,di,bo,LUL,"['a', 'b', 'c']",a17,2,1,1,['a'],True,ap7_3,2713.884231373635,205,4.821945585872895,75,0,0,,,0,False
parking_A_2_LUL_22,4875,5399,bi,ao,LUL,"['a', 'c', 'b']",a13,2,3,1,['a'],False,,996.7933991716538,130,4.2148481355037966,0,1,2,,7.406455626433617,66,False
parking_A_2_LUL_23,4883,5399,di,do,LUL,"['a', 'b', 'c']",a17,2,2,1,['a'],True,ap12_3,1664.0286196505117,320,5.736890610386939,181,0,0,,,0,False
parking_A_2_LUL_24,4884,5399,ci,do,LUL,"['a', 'c', 'b']",a8,2,3,1,['a'],True,ap8_3,1292.0899877990835,295,5.522039395776385,59,1,0,,,0,False
parking_B_2_LUL_7,4889,5399,ai,ao,LUL,"['b', 'a', 'c']",b17,2,3,1,['b'],True,bp12_2,1228.8489299524717,330,4.075941381644581,109,1,0,,,0,False
parking_C_2_PARK_2,4896,5399,ci,do,PARK,"['c', 'b', 'a']",c7,1,1,1,['c'],True,cp7_1,3036.5457160075093,40,4.144125137873203,14,0,0,,,0,False
parking_B_2_PARK_7,4911,5399,ai,co,PARK,"['b', 'a', 'c']",b13,0,2,1,['b'],True,bp17_1,3200.6578995052287,170,4.719556025434202,80,0,0,,,0,False
parking_B_2_LUL_8,4917,5399,ci,ao,LUL,"['b', 'a', 'c']",b12,1,1,1,['b'],True,bp17_2,2207.4930975606885,232,4.45999894982233,112,1,0,,,0,False
parking_C_2_LUL_2,4936,5399,di,do,LUL,"['c', 'b', 'a']",c8,0,2,1,['c'],True,cp5_5,1598.7238728950165,203,5.057812709394784,2,0,0,,,0,False
parking_B_2_PUDO_19,4975,5399,di,co,PUDO,"['b', 'a', 'c']",b13,2,3,1,['b'],False,,395.1099163831292,162,4.145996000955299,0,1,2,,6.348102355729604,84,False
parking_A_2_PARK_12,4983,5399,di,ao,PARK,"['a', 'c', 'b']",a13,0,2,1,['a'],True,ap13_2,3192.283346867094,54,3.687068207121409,61,1,1,PUDO,3.5207978350279894,7,True
parking_A_2_PUDO_26,4987,5399,ai,co,PUDO,"['a', 'c', 'b']",a11,1,3,1,['a'],True,ap11_3,257.5392274955583,209,6.553901306432201,22,0,0,,,0,False
parking_B_2_PARK_8,4989,5399,bi,co,PARK,"['b', 'c', 'a']",b13,1,1,1,['b'],True,bp13_2,2669.551868450963,233,2.707814505368559,80,1,0,,,0,False
parking_B_2_PARK_9,4998,5399,bi,ao,PARK,"['b', 'a', 'c']",b18,1,3,1,['b'],True,bp18_3,2181.3364627346223,168,4.418688479872938,45,1,0,,,0,False
parking_A_2_PUDO_27,5025,5399,bi,ao,PUDO,"['a', 'b', 'c']",a18,0,2,1,['a'],True,ap8_1,481.35471003040607,176,6.055908143436181,23,0,0,,,0,False
parking_A_2_LUL_25,5037,5399,ci,ao,LUL,"['a', 'b', 'c']",a8,2,2,1,['a'],True,ap12_4,2566.463082790643,182,6.109804199611171,120,0,0,,,0,False
parking_A_2_PUDO_28,5079,5399,ai,ao,PUDO,"['a', 'b', 'c']",a17,1,2,1,['a'],True,ap17_5,99.62671970796835,101,7.82639996620288,43,1,0,,,0,False
parking_B_2_LUL_9,5085,5399,ci,bo,LUL,"['b', 'a', 'c']",b13,2,3,0,[],False,,1257.8869482900036,248,3.7241023674732867,0,1,0,,,0,False
parking_A_2_PARK_13,5090,5399,di,bo,PARK,"['a', 'b', 'c']",a18,1,3,1,['a'],True,ap11_5,3643.2030169082477,189,1.741799155418089,216,1,1,PUDO,6.704282378665779,27,True
parking_A_2_PUDO_29,5106,5399,bi,co,PUDO,"['a', 'c', 'b']",a18,2,3,1,['a'],True,ap18_2,60.115674457574876,158,7.209136924761178,31,1,0,,,0,False
parking_B_2_PUDO_20,5108,5399,ci,co,PUDO,"['b', 'c', 'a']",b11,2,1,1,['b'],True,bp11_4,515.1255611284283,142,6.982258686113834,20,0,0,,,0,False
parking_A_2_LUL_26,5111,5399,ci,do,LUL,"['a', 'b', 'c']",a18,2,2,0,[],False,,2648.8450651898547,285,2.081905987929343,0,1,0,,,0,False
parking_C_2_PARK_3,5121,5399,di,bo,PARK,"['c', 'b', 'a']",c10,1,1,1,['c'],True,cp10_5,2169.167576034692,156,8.446274603646348,29,0,0,,,0,False
parking_A_2_PUDO_30,5163,5399,di,co,PUDO,"['a', 'b', 'c']",a13,2,3,1,['a'],True,ap17_5,67.55712502846656,211,5.531727675326978,141,0,0,,,0,False
parking_A_2_LUL_27,5174,5399,ai,bo,LUL,"['a', 'c', 'b']",a7,1,1,1,['a'],True,ap18_1,2309.987736893558,141,7.437236323080346,64,1,0,,,0,False
parking_A_2_PUDO_31,5174,5399,bi,co,PUDO,"['a', 'c', 'b']",a13,2,3,0,[],False,,609.291507905191,176,5.045945657589723,0,0,0,,,0,False
parking_B_2_PUDO_21,5193,5399,ai,bo,PUDO,"['b', 'c', 'a']",b7,2,2,0,[],False,,19.41257474908796,207,3.6337212559421306,0,0,0,,,0,False
parking_A_2_LUL_28,5198,5399,ai,do,LUL,"['a', 'b', 'c']",a12,1,3,0,[],False,,2984.9694846735865,240,5.195886750506906,0,1,0,,,0,False
parking_A_2_LUL_29,5227,5399,ai,ao,LUL,"['a', 'b', 'c']",a8,1,1,0,[],False,,1553.6893113084598,164,6.578953255381359,0,0,0,,,0,False
parking_A_2_PUDO_32,5244,5399,ci,co,PUDO,"['a', 'b', 'c']",a8,1,1,0,[],False,,436.9324792996144,148,3.8905201151722397,0,0,0,,,0,False
parking_A_2_LUL_30,5260,5399,ai,ao,LUL,"['a', 'b', 'c']",a7,0,2,1,['a'],True,ap14_4,1682.907474439289,163,8.31650139026364,7,0,0,,,0,False
parking_B_2_LUL_10,5276,5399,bi,ao,LUL,"['b', 'c', 'a']",b8,1,2,0,[],False,,1863.5373341309548,372,3.0029201529493275,0,0,0,,,0,False
parking_B_2_PUDO_22,5285,5399,ci,co,PUDO,"['b', 'a', 'c']",b17,1,1,0,[],False,,286.11263081963807,176,6.575965565578378,0,0,0,,,0,False
parking_A_2_PUDO_33,5314,5399,ci,ao,PUDO,"['a', 'b', 'c']",a12,0,1,0,[],False,,121.2488820781046,151,9.514618088958194,0,0,0,,,0,False
parking_A_2_LUL_31,5323,5399,di,ao,LUL,"['a', 'c', 'b']",a13,1,2,0,[],False,,2789.38907920327,212,6.005259108670117,0,0,0,,,0,False
parking_C_2_LUL_3,5333,5399,di,ao,LUL,"['c', 'a', 'b']",c8,0,1,0,[],False,,1381.9286808462534,258,3.5312052014495507,0,0,0,,,0,False
parking_C_2_LUL_4,5345,5399,bi,bo,LUL,"['c', 'b', 'a']",c10,1,2,0,[],False,,1631.1521600796348,344,3.3113549784572887,0,1,0,,,0,False
parking_A_2_LUL_32,5355,5399,ci,ao,LUL,"['a', 'b', 'c']",a17,1,2,0,[],False,,1341.194335905132,171,7.423037601689172,0,1,0,,,0,False
parking_A_2_PUDO_34,5370,5399,bi,ao,PUDO,"['a', 'b', 'c']",a11,0,2,0,[],False,,759.4177792371253,240,3.3521288247135472,0,1,0,,,0,False
parking_B_2_LUL_11,5389,5399,ai,ao,LUL,"['b', 'a', 'c']",b18,1,3,0,[],False,,2735.2346664137867,344,5.330635563246906,0,0,0,,,0,False
