zone,time,PARK,PUDO,LUL
A,1,13,26,25
A,2,26,52,50
A,3,33.6,178,5.6
A,4,61.4,154,22
A,5,5,5,5
B,1,7.6,24.35,10.65
B,2,15.2,48.7,21.3
B,3,15.5,48.5,18.9
B,4,21.6,76,18.3
B,5,5,5,5
C,1,3,6,4
C,2,6,12,8
C,3,6.8,40,0.8
C,4,12.8,32,4
C,5,5,5,5
